Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Desempleo registrado de larga duracion
Desempleo registrado de larga duracion;el Safranar;2023;Total;Total;Total;58.5365853658537
Desempleo registrado de larga duracion;Favara;2023;Total;Total;Total;52.991452991453
Desempleo registrado de larga duracion;la Raiosa;2023;Total;Total;Total;49.9489274770174
Desempleo registrado de larga duracion;l'Hort de Senabre;2023;Total;Total;Total;52.9200359389039
Desempleo registrado de larga duracion;la Creu Coberta;2023;Total;Total;Total;54.066985645933
Desempleo registrado de larga duracion;Sant Marcel·lí;2023;Total;Total;Total;54.5994065281899
Desempleo registrado de larga duracion;Camí Real;2023;Total;Total;Total;54.3307086614173
Desempleo registrado de larga duracion;Mont-Olivet;2023;Total;Total;Total;53.8284839203675
Desempleo registrado de larga duracion;en Corts;2023;Total;Total;Total;53.8745387453875
Desempleo registrado de larga duracion;Malilla;2023;Total;Total;Total;53.9104024297646
Desempleo registrado de larga duracion;la Fonteta de Sant Lluís;2023;Total;Total;Total;53.75
Desempleo registrado de larga duracion;na Rovella;2023;Total;Total;Total;58.5365853658537
Desempleo registrado de larga duracion;la Punta;2023;Total;Total;Total;48.7804878048781
Desempleo registrado de larga duracion;Ciutat de les Arts i de les Ciències;2023;Total;Total;Total;50.5882352941176
Desempleo registrado de larga duracion;el Grau;2023;Total;Total;Total;53.2345013477089
Desempleo registrado de larga duracion;el Cabanyal-el Canyamelar;2023;Total;Total;Total;55.3909952606635
Desempleo registrado de larga duracion;la Malva-rosa;2023;Total;Total;Total;53.199617956065
Desempleo registrado de larga duracion;Beteró;2023;Total;Total;Total;56.1302681992337
Desempleo registrado de larga duracion;Natzaret;2023;Total;Total;Total;54.5731707317073
Desempleo registrado de larga duracion;Aiora;2023;Total;Total;Total;52.4719841793013
Desempleo registrado de larga duracion;Albors;2023;Total;Total;Total;54.5064377682404
Desempleo registrado de larga duracion;la Creu del Grau;2023;Total;Total;Total;53.5845588235294
Desempleo registrado de larga duracion;Camí Fondo;2023;Total;Total;Total;51.8518518518519
Desempleo registrado de larga duracion;Penya-roja;2023;Total;Total;Total;50.9478672985782
Desempleo registrado de larga duracion;l'Illa Perduda;2023;Total;Total;Total;57.4
Desempleo registrado de larga duracion;Ciutat Jardí;2023;Total;Total;Total;52.0905923344948
Desempleo registrado de larga duracion;l'Amistat;2023;Total;Total;Total;51.0729613733906
Desempleo registrado de larga duracion;la Bega Baixa;2023;Total;Total;Total;46.6367713004484
Desempleo registrado de larga duracion;la Carrasca;2023;Total;Total;Total;44.6153846153846
Desempleo registrado de larga duracion;Benimaclet;2023;Total;Total;Total;50.56
Desempleo registrado de larga duracion;Camí de Vera;2023;Total;Total;Total;51.2295081967213
Desempleo registrado de larga duracion;Orriols;2023;Total;Total;Total;52.3012552301255
Desempleo registrado de larga duracion;Torrefiel;2023;Total;Total;Total;52.2357723577236
Desempleo registrado de larga duracion;Sant Llorenç;2023;Total;Total;Total;50
Desempleo registrado de larga duracion;16.1 Benicalap;2023;Total;Total;Total;54.066985645933
Desempleo registrado de larga duracion;Ciutat Fallera;2023;Total;Total;Total;52.4122807017544
Desempleo registrado de larga duracion;Benifaraig ;2023;Total;Total;Total;51.219512195122
Desempleo registrado de larga duracion;Poble Nou;2023;Total;Total;Total;46.7741935483871
Desempleo registrado de larga duracion;Carpesa;2023;Total;Total;Total;52.9411764705882
Desempleo registrado de larga duracion;Cases de Bàrcena;2023;Total;Total;Total;38.4615384615385
Desempleo registrado de larga duracion;Mauella;2023;Total;Total;Total;-
Desempleo registrado de larga duracion;Massarrojos;2023;Total;Total;Total;56.3380281690141
Desempleo registrado de larga duracion;Borbotó ;2023;Total;Total;Total;50
Desempleo registrado de larga duracion;Benimàmet;2023;Total;Total;Total;56.3394683026585
Desempleo registrado de larga duracion;Beniferri;2023;Total;Total;Total;48.2142857142857
Desempleo registrado de larga duracion;el Forn d'Alcedo;2023;Total;Total;Total;50
Desempleo registrado de larga duracion;Castellar-l'Oliveral;2023;Total;Total;Total;56.221198156682
Desempleo registrado de larga duracion;Pinedo;2023;Total;Total;Total;55.5555555555556
Desempleo registrado de larga duracion;el Saler;2023;Total;Total;Total;50
Desempleo registrado de larga duracion;el Palmar;2023;Total;Total;Total;41.6666666666667
Desempleo registrado de larga duracion;el Perellonet;2023;Total;Total;Total;65.2173913043478
Desempleo registrado de larga duracion;la Torre;2023;Total;Total;Total;54.6987951807229
Desempleo registrado de larga duracion;Faitanar;2023;Total;Total;Total;48.0519480519481
Desempleo registrado de larga duracion;Total ciudad;2023;Hombre;Total;Total;47.9007633587786
Desempleo registrado de larga duracion;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2023;Hombre;Total;Total;46.2962962962963
Desempleo registrado de larga duracion;2.1 Russafa + el Pla del Remei + Gran Via;2023;Hombre;Total;Total;49.8666666666667
Desempleo registrado de larga duracion;el Botànic + la Roqueta + la Petxina + Arrancapins;2023;Hombre;Total;Total;50.1004016064257
Desempleo registrado de larga duracion;Campanar + les Tendetes + el Calvari + Sant Pau;2023;Hombre;Total;Total;42.4242424242424
Desempleo registrado de larga duracion;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2023;Hombre;Total;Total;49.2790500424088
Desempleo registrado de larga duracion;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2023;Hombre;Total;Total;42.3611111111111
Desempleo registrado de larga duracion;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2023;Hombre;Total;Total;46.5530022238695
Desempleo registrado de larga duracion;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2023;Hombre;Total;Total;46.2745098039216
