Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Salud mental
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;6.2319
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;6.3291
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;5.5352
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Mujer;Total;Total;6.8191
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Mujer;Total;Total;6.2031
Salud mental;Benimaclet + Camí de Vera;2024;Mujer;Total;Total;5.3583
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Mujer;Total;Total;5.0846
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Mujer;Total;Total;5.4743
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Mujer;Total;Total;6.3929
Salud mental;Benimàmet + Beniferri;2024;Mujer;Total;Total;5.7742
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Mujer;Total;Total;5.8393
Salud mental;Total ciudad;2024;Total;18-34;Total;6.5673
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;18-34;Total;8.8716
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;18-34;Total;8.0179
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;18-34;Total;6.7328
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;18-34;Total;6.7083
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;18-34;Total;6.8359
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;18-34;Total;7.1474
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;18-34;Total;6.7903
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;18-34;Total;6.2353
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;18-34;Total;6.4688
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;18-34;Total;6.4744
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;18-34;Total;6.2109
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;18-34;Total;6.8857
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;18-34;Total;6.2875
Salud mental;Benimaclet + Camí de Vera;2024;Total;18-34;Total;5.5167
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Total;18-34;Total;4.8258
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Total;18-34;Total;6.0472
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;18-34;Total;7.0526
Salud mental;Benimàmet + Beniferri;2024;Total;18-34;Total;6.5119
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;18-34;Total;5.81
Salud mental;Total ciudad;2024;Total;35-64;Total;6.4582
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;35-64;Total;8.45
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;35-64;Total;7.6516
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;35-64;Total;6.6042
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;35-64;Total;7.1406
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;35-64;Total;6.0556
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;35-64;Total;7.0739
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;35-64;Total;6.5672
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;35-64;Total;6.3587
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;35-64;Total;6.2164
Salud mental;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;35-64;Total;6.2961
Salud mental;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;35-64;Total;5.7432
Salud mental;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;35-64;Total;7.0338
Salud mental;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;35-64;Total;6.5381
Salud mental;Benimaclet + Camí de Vera;2024;Total;35-64;Total;5.367
Salud mental;Orriols + Torrefiel + Sant Llorenç;2024;Total;35-64;Total;5.5254
Salud mental;16.1 Benicalap + Ciutat Fallera;2024;Total;35-64;Total;5.9607
Salud mental;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;35-64;Total;6.9133
Salud mental;Benimàmet + Beniferri;2024;Total;35-64;Total;6.255
Salud mental;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;35-64;Total;6.15
Salud mental;Total ciudad;2024;Total;>=65;Total;6.588
Salud mental;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;>=65;Total;8.9079
Salud mental;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;>=65;Total;7.8214
Salud mental;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;>=65;Total;6.2297
Salud mental;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;>=65;Total;7.2794
Salud mental;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;>=65;Total;6.5152
Salud mental;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;>=65;Total;7.4549
Salud mental;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;>=65;Total;6.25
Salud mental;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;>=65;Total;6.3106
Salud mental;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;>=65;Total;6.8636
