Indicador;Territorio;Año;Sexo;Grupo de edad;Nivel de estudios;Salud autopercibida
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Mujer;Total;Total;13.6363640105449
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Mujer;Total;Total;27.1428570309853
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Mujer;Total;Total;9.52381093302586
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Mujer;Total;Total;20.2898549789345
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Mujer;Total;Total;19.1780821472539
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Mujer;Total;Total;20.2898557148529
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Mujer;Total;Total;21.5189871385296
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Mujer;Total;Total;23.9436614034314
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Mujer;Total;Total;27.6315786619607
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Mujer;Total;Total;28.1249997273329
Salud autopercibida;Benimaclet + Camí de Vera;2024;Mujer;Total;Total;21.3114766408277
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Mujer;Total;Total;19.117647463232
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Mujer;Total;Total;23.5294112830741
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Mujer;Total;Total;38.7755114011635
Salud autopercibida;Benimàmet + Beniferri;2024;Mujer;Total;Total;21.8181844149666
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Mujer;Total;Total;17.8571402836254
Salud autopercibida;Total ciudad;2024;Total;18-34;Total;9.7601080541692
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;18-34;Total;0
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;18-34;Total;0
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;18-34;Total;10.3448276931247
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;18-34;Total;8.33333446523168
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;18-34;Total;9.37499946467583
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;18-34;Total;5.12820486554054
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;18-34;Total;19.3548383389861
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;18-34;Total;8.82352982229092
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;18-34;Total;12.4999990044223
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;18-34;Total;5.128203899227
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;18-34;Total;12.5000006395764
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;18-34;Total;11.4285722849429
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;18-34;Total;27.4999987435502
Salud autopercibida;Benimaclet + Camí de Vera;2024;Total;18-34;Total;6.45161458548815
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Total;18-34;Total;3.03030248393468
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Total;18-34;Total;16.6666666666667
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;18-34;Total;5.26315391385838
Salud autopercibida;Benimàmet + Beniferri;2024;Total;18-34;Total;3.57143170251658
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;18-34;Total;8.00000028071482
Salud autopercibida;Total ciudad;2024;Total;35-64;Total;16.5260452372112
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;35-64;Total;3.63636295148955
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;35-64;Total;9.83606678725118
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;35-64;Total;10.9375005707679
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;35-64;Total;6.24999936330716
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;35-64;Total;26.9841268690325
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;35-64;Total;7.54717166025872
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;35-64;Total;20.8955223682204
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;35-64;Total;13.0434778621564
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;35-64;Total;19.4029842419108
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;35-64;Total;17.1052627649178
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;35-64;Total;20.2702701207711
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;35-64;Total;17.567567471781
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;35-64;Total;11.8644074534252
Salud autopercibida;Benimaclet + Camí de Vera;2024;Total;35-64;Total;24.999999352302
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Total;35-64;Total;17.3913038122287
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Total;35-64;Total;22.8571433495212
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;35-64;Total;18.3673485348847
Salud autopercibida;Benimàmet + Beniferri;2024;Total;35-64;Total;17.9999980361814
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;35-64;Total;21.8181796722214
Salud autopercibida;Total ciudad;2024;Total;>=65;Total;27.4256185422838
Salud autopercibida;la Seu + la Xerea + el Carme + el Pilar + el Mercat + Sant Francesc;2024;Total;>=65;Total;0
Salud autopercibida;2.1 Russafa + el Pla del Remei + Gran Via;2024;Total;>=65;Total;20.0000005609145
Salud autopercibida;el Botànic + la Roqueta + la Petxina + Arrancapins;2024;Total;>=65;Total;29.7297294013225
Salud autopercibida;Campanar + les Tendetes + el Calvari + Sant Pau;2024;Total;>=65;Total;20.5882353881161
Salud autopercibida;Marxalenes + Morvedre + Trinitat + Tormos + Sant Antoni;2024;Total;>=65;Total;30.3030294640772
Salud autopercibida;Exposició + Mestalla + Jaume Roig + Ciutat Universitària;2024;Total;>=65;Total;4.16666897866213
Salud autopercibida;Nou Moles + Soternes + Tres Forques + la Fontsanta + la Llum;2024;Total;>=65;Total;15.6250007827415
Salud autopercibida;Patraix + Sant Isidre + Vara de Quart + el Safranar + Favara;2024;Total;>=65;Total;33.3333325343968
Salud autopercibida;la Raiosa + l'Hort de Senabre + la Creu Coberta + Sant Marcel·lí + Camí Real;2024;Total;>=65;Total;21.2121198078904
Salud autopercibida;Mont-Olivet + en Corts + Malilla + la Fonteta de Sant Lluís + na Rovella + la Punta + Ciutat de les Arts i de les Ciències;2024;Total;>=65;Total;42.424242240331
Salud autopercibida;el Grau + el Cabanyal-el Canyamelar + la Malva-rosa + Beteró + Natzaret;2024;Total;>=65;Total;17.8571422306191
Salud autopercibida;Aiora + Albors + la Creu del Grau + Camí Fondo + Penya-roja;2024;Total;>=65;Total;52.9411767298703
Salud autopercibida;l'Illa Perduda + Ciutat Jardí + l'Amistat + la Bega Baixa + la Carrasca;2024;Total;>=65;Total;22.7272738810375
Salud autopercibida;Benimaclet + Camí de Vera;2024;Total;>=65;Total;19.3548402517513
Salud autopercibida;Orriols + Torrefiel + Sant Llorenç;2024;Total;>=65;Total;19.999999433338
Salud autopercibida;16.1 Benicalap + Ciutat Fallera;2024;Total;>=65;Total;27.5862059035084
Salud autopercibida;Benifaraig + Poble Nou + Carpesa + Cases de Bàrcena + Mauella + Massarrojos + Borbotó ;2024;Total;>=65;Total;61.5384601212062
Salud autopercibida;Benimàmet + Beniferri;2024;Total;>=65;Total;50
Salud autopercibida;el Forn d'Alcedo + Castellar-l'Oliveral + Pinedo + el Saler + el Palmar + el Perellonet + la Torre + Faitanar;2024;Total;>=65;Total;31.0344825500038
